id;country;name;short_name
1;中国;简体中文;zh-cn
2;台湾地区;繁体中文;zh-tw
3;香港;繁体中文;zh-hk
4;香港;英语;en-hk
5;美国;英语;en-us
6;英国;英语;en-gb
7;全球;英语;en-ww
8;加拿大;英语;en-ca
9;澳大利亚;英语;en-au
10;爱尔兰;英语;en-ie
11;芬兰;英语;en-fi
12;芬兰;芬兰语;fi-fi
13;丹麦;英语;en-dk
14;丹麦;丹麦语;da-dk
15;以色列;英语;en-il
16;以色列;希伯来语;he-il
17;南非;英语;en-za
18;印度;英语;en-in
19;挪威;英语;en-no
20;新加坡;英语;en-sg
21;新西兰;英语;en-nz
22;印度尼西亚;英语;en-id
23;菲律宾;英语;en-ph
24;泰国;英语;en-th
25;马来西亚;英语;en-my
26;阿拉伯;英语;en-xa
27;韩国;韩文;ko-kr
28;日本;日语;ja-jp
29;荷兰;荷兰语;nl-nl
30;比利时;荷兰语;nl-be
31;葡萄牙;葡萄牙语;pt-pt
32;巴西;葡萄牙语;pt-br
33;法国;法语;fr-fr
34;卢森堡;法语;fr-lu
35;瑞士;法语;fr-ch
36;比利时;法语;fr-be
37;加拿大;法语;fr-ca
38;拉丁美洲;西班牙语;es-la
39;西班牙;西班牙语;es-es
40;阿根廷;西班牙语;es-ar
41;美国;西班牙语;es-us
42;墨西哥;西班牙语;es-mx
43;哥伦比亚;西班牙语;es-co
44;波多黎各;西班牙语;es-pr
45;德国;德语;de-de
46;奥地利;德语;de-at
47;瑞士;德语;de-ch
48;俄罗斯;俄语;ru-ru
49;意大利;意大利语;it-it
50;希腊;希腊语;el-gr
51;挪威;挪威语;no-no
52;匈牙利;匈牙利语;hu-hu
53;土耳其;土耳其语;tr-tr
54;捷克共和国;捷克语;cs-cz
55;sl-sl;斯洛文尼亚语;
56;波兰;波兰语;pl-pl
57;瑞典;瑞典语;sv-se
58;智利;西班牙语;es-cl
59;中国西藏;藏语;ti-cn
